Date,Open,High,Low,Close,Adj Close,Volume
2022-01-28,130.710007,132.960007,130.000000,132.470001,129.871689,127500
2022-01-31,134.639999,136.610001,134.279999,136.529999,133.852051,291400
2022-02-01,138.330002,138.639999,136.399994,137.899994,135.195175,66000
2022-02-02,139.550003,140.779999,138.949997,140.289993,137.538284,200900
2022-02-03,138.220001,139.369995,137.660004,137.970001,135.263809,126200
2022-02-04,138.610001,140.649994,137.440002,138.699997,135.979477,32700
2022-02-07,138.860001,139.550003,137.050003,137.520004,134.822632,57600
2022-02-08,135.449997,137.580002,134.690002,137.179993,134.489288,63100
2022-02-09,140.389999,140.800003,139.750000,140.289993,137.538284,72500
2022-02-10,137.259995,140.449997,137.259995,137.850006,135.146164,69100
2022-02-11,135.679993,137.080002,131.110001,131.850006,129.263855,47200
2022-02-14,131.589996,131.690002,128.990005,130.210007,127.656013,66900
2022-02-15,133.559998,134.570007,133.059998,134.339996,131.705002,53100
2022-02-16,133.699997,134.559998,132.419998,134.309998,131.675583,43000
2022-02-17,131.740005,132.539993,129.729996,130.350006,127.793266,34300
2022-02-18,130.979996,131.679993,129.259995,129.839996,127.293266,40800
2022-02-22,126.139999,127.470001,124.269997,125.820000,123.352119,112500
2022-02-23,126.349998,126.519997,121.820000,122.190002,119.793320,62000
2022-02-24,118.230003,121.410004,116.199997,120.709999,118.342346,117100
2022-02-25,119.800003,121.830002,117.959999,121.279999,118.901161,170000
2022-02-28,117.940002,120.599998,116.230003,117.839996,115.528633,431400
2022-03-01,116.279999,116.949997,112.019997,113.489998,111.263962,578000
2022-03-02,113.800003,115.930000,112.930000,114.440002,112.195328,102700
2022-03-03,113.980003,114.660004,109.639999,110.220001,108.058105,114200
2022-03-04,104.580002,106.989998,101.000000,102.089996,100.087563,206000
2022-03-07,99.779999,100.019997,93.860001,94.639999,92.783691,1070800
2022-03-08,100.529999,106.620003,98.669998,100.889999,98.911102,249600
2022-03-09,116.489998,117.779999,114.849998,115.879997,113.607079,103000
2022-03-10,109.849998,111.230003,108.320000,110.750000,108.577705,381400
2022-03-11,115.760002,116.510002,110.849998,110.930000,108.754173,653400
2022-03-14,113.760002,115.529999,111.750000,112.309998,110.107101,203700
2022-03-15,111.599998,113.260002,109.589996,111.739998,109.548286,167800
2022-03-16,115.410004,119.959999,115.349998,118.470001,116.146286,127000
2022-03-17,116.690002,119.790001,116.540001,119.169998,116.832550,179200
2022-03-18,116.330002,120.750000,115.849998,120.589996,118.224693,193600
2022-03-21,118.599998,118.809998,116.589996,117.800003,115.489426,79000
2022-03-22,120.220001,121.750000,118.809998,119.790001,117.440392,79600
2022-03-23,117.070000,117.199997,115.370003,115.370003,113.107086,87100
2022-03-24,114.989998,116.000000,114.059998,116.000000,113.724731,60800
2022-03-25,118.629997,119.300003,116.199997,117.050003,114.754135,97200
2022-03-28,117.820000,118.800003,116.110001,118.199997,115.881577,98400
2022-03-29,120.760002,121.480003,119.699997,121.480003,119.097244,167300
2022-03-30,120.019997,121.279999,119.629997,120.440002,118.077644,83500
2022-03-31,119.040001,120.029999,116.820000,116.820000,114.528648,171100
2022-04-01,118.190002,118.190002,115.650002,116.309998,114.028648,66800
2022-04-04,116.040001,117.419998,115.930000,117.099998,114.803154,119900
2022-04-05,115.589996,115.889999,113.180000,114.239998,111.999252,80200
2022-04-06,109.989998,111.110001,109.190002,110.519997,108.352211,93300
2022-04-07,112.500000,112.860001,110.459999,111.889999,109.695343,127300
2022-04-08,111.889999,113.449997,110.760002,112.309998,110.107101,74100
2022-04-11,110.680000,111.820000,109.669998,109.870003,107.714966,129000
2022-04-12,111.540001,111.540001,108.139999,108.730003,106.597328,105200
2022-04-13,107.260002,108.050003,105.809998,107.589996,105.479683,100100
2022-04-14,107.690002,109.019997,107.000000,108.190002,106.067917,98900
2022-04-18,105.879997,110.580002,105.750000,108.430000,106.303207,99600
2022-04-19,107.930000,111.070000,107.750000,110.699997,108.528687,200200
2022-04-20,112.919998,113.800003,112.029999,112.910004,110.695343,54000
2022-04-21,113.839996,113.989998,110.750000,111.139999,108.960052,39600
2022-04-22,110.000000,110.000000,107.000000,107.000000,104.901260,54000
2022-04-25,103.639999,104.870003,102.239998,104.370003,102.322845,133000
2022-04-26,101.919998,102.099998,99.000000,99.000000,97.058174,126200
2022-04-27,98.190002,98.750000,96.150002,96.330002,94.440544,178200
2022-04-28,98.800003,102.919998,97.330002,99.489998,97.538559,193300
2022-04-29,102.519997,102.680000,99.940002,100.070000,98.107185,74900
2022-05-02,101.639999,103.489998,100.629997,102.209999,100.205208,181800
2022-05-03,100.930000,101.830002,100.330002,101.550003,99.558159,119100
2022-05-04,103.110001,104.680000,101.559998,104.199997,102.156174,126600
2022-05-05,101.910004,101.919998,97.730003,99.370003,97.420921,123000
2022-05-06,95.089996,96.519997,93.529999,95.570000,93.695450,157300
2022-05-09,92.449997,93.550003,90.250000,91.650002,89.852341,145700
2022-05-10,92.720001,92.940002,90.820000,92.029999,90.224884,131500
2022-05-11,95.970001,97.000000,92.849998,93.150002,91.322922,136500
2022-05-12,91.169998,94.510002,90.639999,92.839996,91.018997,134000
2022-05-13,93.139999,95.070000,92.860001,94.769997,94.769997,182300
2022-05-16,93.199997,94.750000,92.709999,94.099998,94.099998,132100
2022-05-17,98.129997,98.300003,96.089996,97.040001,97.040001,132200
2022-05-18,93.419998,93.550003,90.849998,90.879997,90.879997,86600
2022-05-19,89.959999,92.000000,89.480003,91.300003,91.300003,136900
2022-05-20,91.970001,92.430000,90.120003,91.360001,91.360001,96100
